algorithm,beta,n,seed,detected_race_to_loan,shd,beta_hat,wall_time_s
PC,0.0,1000,1000,0,10,,0.782
FCI,0.0,1000,1000,0,8,,0.016
GES,0.0,1000,1000,0,8,,0.019
GRaSP,0.0,1000,1000,0,8,,0.004
ICA-LiNGAM,0.0,1000,1000,0,1,0.0,0.009
DirectLiNGAM,0.0,1000,1000,0,1,0.0,0.023
PC,0.0,1000,1001,0,5,,0.007
FCI,0.0,1000,1001,0,8,,0.01
GES,0.0,1000,1001,0,17,,0.024
GRaSP,0.0,1000,1001,0,10,,0.005
ICA-LiNGAM,0.0,1000,1001,0,1,0.0,0.006
DirectLiNGAM,0.0,1000,1001,0,1,0.0,0.026
PC,0.0,1000,1002,0,10,,0.006
FCI,0.0,1000,1002,0,8,,0.009
GES,0.0,1000,1002,0,7,,0.013
GRaSP,0.0,1000,1002,0,6,,0.004
ICA-LiNGAM,0.0,1000,1002,0,1,0.0,0.006
DirectLiNGAM,0.0,1000,1002,0,1,0.0,0.029
PC,0.0,1000,1003,0,8,,0.006
FCI,0.0,1000,1003,0,10,,0.011
GES,0.0,1000,1003,0,10,,0.017
GRaSP,0.0,1000,1003,0,7,,0.005
ICA-LiNGAM,0.0,1000,1003,0,1,0.0,0.009
DirectLiNGAM,0.0,1000,1003,0,1,0.0,0.03
PC,0.0,1000,1004,0,8,,0.007
FCI,0.0,1000,1004,0,10,,0.011
GES,0.0,1000,1004,0,8,,0.02
GRaSP,0.0,1000,1004,0,7,,0.003
ICA-LiNGAM,0.0,1000,1004,0,1,0.0,0.008
DirectLiNGAM,0.0,1000,1004,0,1,0.0,0.024
PC,0.0,1000,1005,0,10,,0.006
FCI,0.0,1000,1005,0,8,,0.011
GES,0.0,1000,1005,0,10,,0.014
GRaSP,0.0,1000,1005,0,5,,0.004
ICA-LiNGAM,0.0,1000,1005,0,1,0.0,0.007
DirectLiNGAM,0.0,1000,1005,0,1,0.0,0.028
PC,0.0,1000,1006,0,8,,0.008
FCI,0.0,1000,1006,0,10,,0.009
GES,0.0,1000,1006,0,6,,0.021
GRaSP,0.0,1000,1006,0,13,,0.005
ICA-LiNGAM,0.0,1000,1006,0,1,0.0,0.008
DirectLiNGAM,0.0,1000,1006,0,1,0.0,0.03
PC,0.0,1000,1007,0,5,,0.009
FCI,0.0,1000,1007,0,8,,0.011
GES,0.0,1000,1007,0,12,,0.021
GRaSP,0.0,1000,1007,0,6,,0.005
ICA-LiNGAM,0.0,1000,1007,0,1,0.0,0.006
DirectLiNGAM,0.0,1000,1007,0,1,0.0,0.024
PC,0.0,1000,1008,0,4,,0.007
FCI,0.0,1000,1008,0,8,,0.011
GES,0.0,1000,1008,0,17,,0.019
GRaSP,0.0,1000,1008,0,11,,0.007
