algorithm,beta,n,detection_rate,mean_shd,std_shd,mean_beta_hat
DirectLiNGAM,0.0,1000,0.05,1.3,0.73,0.004017005808038241
DirectLiNGAM,0.0,5000,0.0,0.35,0.49,0.0
DirectLiNGAM,0.0,10000,0.0,0.15,0.37,0.0
DirectLiNGAM,0.0,50000,0.0,0.0,0.0,0.0
DirectLiNGAM,0.05,1000,0.05,2.15,0.67,-0.0037915390343068725
DirectLiNGAM,0.05,5000,0.5,0.85,0.75,-0.031114563004704214
DirectLiNGAM,0.05,10000,0.9,0.25,0.44,-0.04311651096249122
DirectLiNGAM,0.05,50000,1.0,0.0,0.0,-0.04950430499939444
DirectLiNGAM,0.1,1000,0.35,1.9,0.85,-0.03738925430443607
DirectLiNGAM,0.1,5000,1.0,0.35,0.49,-0.10077461520381019
DirectLiNGAM,0.1,10000,1.0,0.15,0.37,-0.09829227353746546
DirectLiNGAM,0.1,50000,1.0,0.0,0.0,-0.10013983391298646
DirectLiNGAM,0.15,1000,0.85,1.4,0.88,-0.11003566265388454
DirectLiNGAM,0.15,5000,1.0,0.35,0.49,-0.15217066160034742
DirectLiNGAM,0.15,10000,1.0,0.15,0.37,-0.1492415383665036
DirectLiNGAM,0.15,50000,1.0,0.0,0.0,-0.15034663512160143
DirectLiNGAM,0.2,1000,0.95,1.3,0.73,-0.16867513408648876
DirectLiNGAM,0.2,5000,1.0,0.35,0.49,-0.20285318450750328
DirectLiNGAM,0.2,10000,1.0,0.15,0.37,-0.19970513576333634
DirectLiNGAM,0.2,50000,1.0,0.0,0.0,-0.2004493031121445
DirectLiNGAM,0.25,1000,1.0,1.25,0.72,-0.22499541600559336
DirectLiNGAM,0.25,5000,1.0,0.35,0.49,-0.25325975988819305
DirectLiNGAM,0.25,10000,1.0,0.15,0.37,-0.2499803192453527
DirectLiNGAM,0.25,50000,1.0,0.0,0.0,-0.2505106953738302
FCI,0.0,1000,0.0,8.5,1.28,
FCI,0.0,5000,0.0,8.5,1.05,
FCI,0.0,10000,0.0,8.45,0.89,
FCI,0.0,50000,0.0,7.85,1.04,
FCI,0.05,1000,0.0,10.05,1.39,
FCI,0.05,5000,0.0,9.2,1.47,
FCI,0.05,10000,0.0,9.6,1.35,
FCI,0.05,50000,0.0,8.1,1.25,
FCI,0.1,1000,0.0,10.6,1.47,
FCI,0.1,5000,0.0,10.15,0.81,
FCI,0.1,10000,0.0,9.1,1.25,
FCI,0.1,50000,0.15,6.3,1.3,
FCI,0.15,1000,0.0,10.7,1.81,
FCI,0.15,5000,0.0,10.0,0.56,
FCI,0.15,10000,0.0,9.95,0.94,
FCI,0.15,50000,0.05,9.35,0.81,
FCI,0.2,1000,0.05,10.9,1.94,
FCI,0.2,5000,0.05,9.85,0.75,
FCI,0.2,10000,0.0,9.75,0.79,
FCI,0.2,50000,0.45,7.25,1.94,
FCI,0.25,1000,0.15,10.45,2.11,
FCI,0.25,5000,0.1,9.2,1.06,
FCI,0.25,10000,0.05,8.85,0.88,
FCI,0.25,50000,0.4,8.45,1.28,
GES,0.0,1000,0.0,8.45,3.73,
GES,0.0,5000,0.0,8.45,5.44,
GES,0.0,10000,0.05,6.95,5.33,
GES,0.0,50000,0.0,5.25,2.43,
GES,0.05,1000,0.35,10.45,3.83,
GES,0.05,5000,0.4,9.5,5.32,
GES,0.05,10000,0.6,9.7,5.68,
GES,0.05,50000,0.75,7.95,4.77,
GES,0.1,1000,0.45,10.4,3.22,
GES,0.1,5000,0.8,8.95,3.89,
GES,0.1,10000,0.7,8.75,5.5,
GES,0.1,50000,1.0,3.8,2.07,
GES,0.15,1000,0.6,10.8,3.71,
GES,0.15,5000,0.7,12.1,5.45,
GES,0.15,10000,0.8,9.85,5.07,
GES,0.15,50000,0.95,5.5,3.38,
GES,0.2,1000,0.65,11.1,3.02,
GES,0.2,5000,0.7,11.45,5.03,
GES,0.2,10000,0.7,11.2,5.36,
GES,0.2,50000,0.95,6.0,4.3,
GES,0.25,1000,0.75,10.4,3.33,
GES,0.25,5000,0.65,11.6,3.53,
GES,0.25,10000,0.85,9.7,5.3,
GES,0.25,50000,0.9,6.3,3.79,
GRaSP,0.0,1000,0.0,7.4,2.48,
GRaSP,0.0,5000,0.0,6.2,4.21,
GRaSP,0.0,10000,0.0,5.55,4.14,
GRaSP,0.0,50000,0.0,5.1,2.57,
GRaSP,0.05,1000,0.0,8.0,2.77,
GRaSP,0.05,5000,0.0,6.7,3.48,
GRaSP,0.05,10000,0.0,6.9,4.51,
GRaSP,0.05,50000,0.95,4.65,3.95,
GRaSP,0.1,1000,0.0,7.05,1.57,
GRaSP,0.1,5000,0.45,7.75,3.77,
GRaSP,0.1,10000,0.85,6.65,4.75,
GRaSP,0.1,50000,0.85,6.5,5.95,
GRaSP,0.15,1000,0.05,7.8,2.48,
GRaSP,0.15,5000,0.7,8.2,5.37,
GRaSP,0.15,10000,0.8,6.5,5.36,
GRaSP,0.15,50000,0.55,10.0,7.44,
GRaSP,0.2,1000,0.3,7.7,2.43,
GRaSP,0.2,5000,0.65,10.5,5.12,
GRaSP,0.2,10000,0.5,10.75,6.43,
GRaSP,0.2,50000,0.7,8.15,6.31,
GRaSP,0.25,1000,0.55,9.35,3.13,
GRaSP,0.25,5000,0.45,11.6,4.85,
GRaSP,0.25,10000,0.65,10.3,5.78,
GRaSP,0.25,50000,0.95,6.85,5.18,
ICA-LiNGAM,0.0,1000,0.05,1.15,0.59,0.0040170058080382775
ICA-LiNGAM,0.0,5000,0.0,0.35,0.49,0.0
ICA-LiNGAM,0.0,10000,0.0,0.15,0.37,0.0
ICA-LiNGAM,0.0,50000,0.0,0.0,0.0,0.0
ICA-LiNGAM,0.05,1000,0.05,2.0,0.46,-0.0037915390343068616
ICA-LiNGAM,0.05,5000,0.5,0.85,0.75,-0.031114563004704266
